"text","label","explain"
"Steve Jackson Games","PERSON","People, including fictional"
"Inc.","GPE","Countries, cities, states"
"Erik Bloodaxe","PERSON","People, including fictional"
"Austin","GPE","Countries, cities, states"
"USSS","GPE","Countries, cities, states"
"Arizona","GPE","Countries, cities, states"
"Organized Crime and Racketeering Bureau","ORG","Companies, agencies, institutions, etc."
"Cincinnatti","GPE","Countries, cities, states"
"Detroit","GPE","Countries, cities, states"
"Los Angeles","GPE","Countries, cities, states"
"Miami","GPE","Countries, cities, states"
"Newark","GPE","Countries, cities, states"
"Phoenix","GPE","Countries, cities, states"
"Pittsburgh","GPE","Countries, cities, states"
"Richmond","GPE","Countries, cities, states"
"Tucson","GPE","Countries, cities, states"
"San Diego","GPE","Countries, cities, states"
"San Jose","GPE","Countries, cities, states"
"San Francisco","GPE","Countries, cities, states"
"FBI","ORG","Companies, agencies, institutions, etc."
"John Perry Barlow","PERSON","People, including fictional"
"June","DATE","Absolute or relative dates or periods"
"Mitch Kapor","PERSON","People, including fictional"
"Barlow","PERSON","People, including fictional"
"Electronic Frontier Foundation","ORG","Companies, agencies, institutions, etc."
"July 24 27","DATE","Absolute or relative dates or periods"
"1991","DATE","Absolute or relative dates or periods"
"February","DATE","Absolute or relative dates or periods"
"Washington","GPE","Countries, cities, states"
"25 28","DATE","Absolute or relative dates or periods"
"San Francisco","GPE","Countries, cities, states"
"May 1","DATE","Absolute or relative dates or periods"
"Electronic Frontier Foundation","ORG","Companies, agencies, institutions, etc."
"Steve Jackson","PERSON","People, including fictional"
"Chicago Task Force","ORG","Companies, agencies, institutions, etc."
"July 1 2","DATE","Absolute or relative dates or periods"
"Washington","GPE","Countries, cities, states"
"Los Angeles","GPE","Countries, cities, states"
"Pittsburgh","GPE","Countries, cities, states"
"San Francisco","GPE","Countries, cities, states"
"September 17","DATE","Absolute or relative dates or periods"
"New York City","GPE","Countries, cities, states"
"three","CARDINAL","Numerals that do not fall under another type"
"Secret Service","ORG","Companies, agencies, institutions, etc."
"1990s","DATE","Absolute or relative dates or periods"
"1982","DATE","Absolute or relative dates or periods"
"about a hundred and","CARDINAL","Numerals that do not fall under another type"
"two","CARDINAL","Numerals that do not fall under another type"
"two","CARDINAL","Numerals that do not fall under another type"
"Tens of thousands","CARDINAL","Numerals that do not fall under another type"
"years","DATE","Absolute or relative dates or periods"
"past twenty years","DATE","Absolute or relative dates or periods"
"one","CARDINAL","Numerals that do not fall under another type"
"jack","PERSON","People, including fictional"
"Light","ORG","Companies, agencies, institutions, etc."
"1960s","DATE","Absolute or relative dates or periods"
"today","DATE","Absolute or relative dates or periods"
"thousands","CARDINAL","Numerals that do not fall under another type"
"hours","TIME","Times smaller than a day"
"weeks","DATE","Absolute or relative dates or periods"
"months","DATE","Absolute or relative dates or periods"
"years","DATE","Absolute or relative dates or periods"
"Cyberspace","PERSON","People, including fictional"
"today","DATE","Absolute or relative dates or periods"
"Matrix","PERSON","People, including fictional"
"twenty years","DATE","Absolute or relative dates or periods"
"today","DATE","Absolute or relative dates or periods"
"year 1990","DATE","Absolute or relative dates or periods"
"year","DATE","Absolute or relative dates or periods"
"1990","DATE","Absolute or relative dates or periods"
"one","CARDINAL","Numerals that do not fall under another type"
"USA","GPE","Countries, cities, states"
"1990","DATE","Absolute or relative dates or periods"
"U.S. Secret Service","ORG","Companies, agencies, institutions, etc."
"America","GPE","Countries, cities, states"
"Hacker Crackdown","ORG","Companies, agencies, institutions, etc."
"Electronic Frontier Foundation","ORG","Companies, agencies, institutions, etc."
"January 15, 1990","DATE","Absolute or relative dates or periods"
"Sixty thousand","CARDINAL","Numerals that do not fall under another type"
"nine long hours","TIME","Times smaller than a day"
"seventy million","CARDINAL","Numerals that do not fall under another type"
"thousands","CARDINAL","Numerals that do not fall under another type"
"decades","DATE","Absolute or relative dates or periods"
"Monday","DATE","Absolute or relative dates or periods"
"afternoon","TIME","Times smaller than a day"
"Manhattan","GPE","Countries, cities, states"
"America","GPE","Countries, cities, states"
"half","CARDINAL","Numerals that do not fall under another type"
"half","CARDINAL","Numerals that do not fall under another type"
"nine hours","TIME","Times smaller than a day"
"couple of weeks","DATE","Absolute or relative dates or periods"
"American","NORP","Nationalities or religious or political groups"
"years","DATE","Absolute or relative dates or periods"
"American","NORP","Nationalities or religious or political groups"
"Crash of January 15  the first month","DATE","Absolute or relative dates or periods"
"months","DATE","Absolute or relative dates or periods"
"Martin Luther King Day","PERSON","People, including fictional"
"American","NORP","Nationalities or religious or political groups"
"Hacker Crackdown","PRODUCT","Objects, vehicles, foods, etc. (not services)"
"New York","GPE","Countries, cities, states"
"1980s","DATE","Absolute or relative dates or periods"
"American","NORP","Nationalities or religious or political groups"
"Electronic Communications Privacy Act","ORG","Companies, agencies, institutions, etc."
"1986","DATE","Absolute or relative dates or periods"
"Computer Fraud","ORG","Companies, agencies, institutions, etc."
"1986","DATE","Absolute or relative dates or periods"
"United States","GPE","Countries, cities, states"
"Senate","ORG","Companies, agencies, institutions, etc."
"day to day","DATE","Absolute or relative dates or periods"
"American","NORP","Nationalities or religious or political groups"
"first","ORDINAL","""first"", ""second"", etc."
"first","ORDINAL","""first"", ""second"", etc."
"Question Mark","GPE","Countries, cities, states"
" Golden Vaporware","FAC","Buildings, airports, highways, bridges, etc."
"One","CARDINAL","Numerals that do not fall under another type"
"Alexander Graham Bell","PERSON","People, including fictional"
"Bell","ORG","Companies, agencies, institutions, etc."
"1863","DATE","Absolute or relative dates or periods"
"Bell","ORG","Companies, agencies, institutions, etc."
"Melville","PERSON","People, including fictional"
"Melville","GPE","Countries, cities, states"
"Alec Bell","PERSON","People, including fictional"
"Bell","ORG","Companies, agencies, institutions, etc."
"1874","DATE","Absolute or relative dates or periods"
"Clamped","PERSON","People, including fictional"
"1875","DATE","Absolute or relative dates or periods"
"Bell","ORG","Companies, agencies, institutions, etc."
"second","ORDINAL","""first"", ""second"", etc."
"Rising Star","FAC","Buildings, airports, highways, bridges, etc."
"Goofy Prototype","PERSON","People, including fictional"
"Bell","ORG","Companies, agencies, institutions, etc."
"March 10, 1876","DATE","Absolute or relative dates or periods"
"Alexander Graham Bell","PERSON","People, including fictional"
"first","ORDINAL","""first"", ""second"", etc."
"Bell","PERSON","People, including fictional"
"Boston","GPE","Countries, cities, states"
"Watson","PERSON","People, including fictional"
"Bell","ORG","Companies, agencies, institutions, etc."
"half","CARDINAL","Numerals that do not fall under another type"
"Goofy Prototype","LOC","Non-GPE locations, mountain ranges, bodies of water"
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Brownie","PERSON","People, including fictional"
"Bell","ORG","Companies, agencies, institutions, etc."
"Watson","PERSON","People, including fictional"
"Bell","ORG","Companies, agencies, institutions, etc."
"couple of years","DATE","Absolute or relative dates or periods"
"Bell","ORG","Companies, agencies, institutions, etc."
"today","DATE","Absolute or relative dates or periods"
"Sunday","DATE","Absolute or relative dates or periods"
"Bell","ORG","Companies, agencies, institutions, etc."
"Hungary","GPE","Countries, cities, states"
"Budapest","GPE","Countries, cities, states"
"decades","DATE","Absolute or relative dates or periods"
"1893","DATE","Absolute or relative dates or periods"
"World War I","EVENT","Named hurricanes, battles, wars, sports events, etc."
"Telefon Hirmondo","ORG","Companies, agencies, institutions, etc."
"Telefon Hirmondo","ORG","Companies, agencies, institutions, etc."
"today","DATE","Absolute or relative dates or periods"
"CompuServe","ORG","Companies, agencies, institutions, etc."
"GEnie","ORG","Companies, agencies, institutions, etc."
"Prodigy","GPE","Countries, cities, states"
"late 1970s","DATE","Absolute or relative dates or periods"
"America","GPE","Countries, cities, states"
"Bell","ORG","Companies, agencies, institutions, etc."
"one","CARDINAL","Numerals that do not fall under another type"
"Bell","ORG","Companies, agencies, institutions, etc."
"today","DATE","Absolute or relative dates or periods"
"Bell","PERSON","People, including fictional"
"nineteenth century","DATE","Absolute or relative dates or periods"
"New England","LOC","Non-GPE locations, mountain ranges, bodies of water"
"America","GPE","Countries, cities, states"
"Western Union","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Telegrams","PERSON","People, including fictional"
"Bell","ORG","Companies, agencies, institutions, etc."
"1876","DATE","Absolute or relative dates or periods"
"United States","GPE","Countries, cities, states"
"214,000 miles","QUANTITY","Measurements, as of weight or distance"
"8500","CARDINAL","Numerals that do not fall under another type"
"Bell","ORG","Companies, agencies, institutions, etc."
"third","ORDINAL","""first"", ""second"", etc."
"year or so","DATE","Absolute or relative dates or periods"
"Alexander Graham Bell","PERSON","People, including fictional"
"nineteenth century","DATE","Absolute or relative dates or periods"
"young Bell Company","ORG","Companies, agencies, institutions, etc."
"first","ORDINAL","""first"", ""second"", etc."
"Boston","GPE","Countries, cities, states"
"American","NORP","Nationalities or religious or political groups"
"hundred years later","DATE","Absolute or relative dates or periods"
"January 1878","DATE","Absolute or relative dates or periods"
"Tarriffville","GPE","Countries, cities, states"
"Connecticut","GPE","Countries, cities, states"
"Hartford","GPE","Countries, cities, states"
"Bell","ORG","Companies, agencies, institutions, etc."
"Tarriffville","ORG","Companies, agencies, institutions, etc."
"1890","DATE","Absolute or relative dates or periods"
"New England","LOC","Non-GPE locations, mountain ranges, bodies of water"
"'93","DATE","Absolute or relative dates or periods"
"Chicago","GPE","Countries, cities, states"
"'97","DATE","Absolute or relative dates or periods"
"Minnesota","GPE","Countries, cities, states"
"Nebraska","GPE","Countries, cities, states"
"Texas","GPE","Countries, cities, states"
"1904","DATE","Absolute or relative dates or periods"
"Bell","PERSON","People, including fictional"
"Bell","PERSON","People, including fictional"
"tedious day","DATE","Absolute or relative dates or periods"
"Bell","ORG","Companies, agencies, institutions, etc."
"Montessori","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"many years","DATE","Absolute or relative dates or periods"
"Bell","ORG","Companies, agencies, institutions, etc."
"four","CARDINAL","Numerals that do not fall under another type"
"A.M.","GPE","Countries, cities, states"
"noon","TIME","Times smaller than a day"
"Bell","ORG","Companies, agencies, institutions, etc."
"millions","CARDINAL","Numerals that do not fall under another type"
"Bell","ORG","Companies, agencies, institutions, etc."
"winter","DATE","Absolute or relative dates or periods"
"Washington","GPE","Countries, cities, states"
"D.C.","GPE","Countries, cities, states"
"SCIENCE","ORG","Companies, agencies, institutions, etc."
"NATIONAL GEOGRAPHIC","ORG","Companies, agencies, institutions, etc."
"today","DATE","Absolute or relative dates or periods"
"American","NORP","Nationalities or religious or political groups"
"Bell","ORG","Companies, agencies, institutions, etc."
"Thomas Watson","PERSON","People, including fictional"
"19th  century","DATE","Absolute or relative dates or periods"
"Edward Bellamy","PERSON","People, including fictional"
"Watson","PERSON","People, including fictional"
"Shakespearian","NORP","Nationalities or religious or political groups"
"Alexander Graham Bell","PERSON","People, including fictional"
"years","DATE","Absolute or relative dates or periods"
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Boston","GPE","Countries, cities, states"
"Bell","ORG","Companies, agencies, institutions, etc."
"eighteen years","DATE","Absolute or relative dates or periods"
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"six hundred","CARDINAL","Numerals that do not fall under another type"
"149","CARDINAL","Numerals that do not fall under another type"
"Bell Company","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"America","GPE","Countries, cities, states"
"Bell","ORG","Companies, agencies, institutions, etc."
"American Bell Telephone","ORG","Companies, agencies, institutions, etc."
"1907","DATE","Absolute or relative dates or periods"
"American Bell Telephone","ORG","Companies, agencies, institutions, etc."
"J.P. Morgan","PERSON","People, including fictional"
"American","NORP","Nationalities or religious or political groups"
"Bell","ORG","Companies, agencies, institutions, etc."
"American Telephone and","ORG","Companies, agencies, institutions, etc."
"Telegraph","FAC","Buildings, airports, highways, bridges, etc."
"Theodore Vail","PERSON","People, including fictional"
"Vail","GPE","Countries, cities, states"
"Post Office","ORG","Companies, agencies, institutions, etc."
"Vail","GPE","Countries, cities, states"
"Pupin","ORG","Companies, agencies, institutions, etc."
"Campbell","ORG","Companies, agencies, institutions, etc."
"today","DATE","Absolute or relative dates or periods"
"1913","DATE","Absolute or relative dates or periods"
"Vail","GPE","Countries, cities, states"
"Vail","PERSON","People, including fictional"
"Bell","ORG","Companies, agencies, institutions, etc."
"hundreds","CARDINAL","Numerals that do not fall under another type"
"today","DATE","Absolute or relative dates or periods"
"Vail","PERSON","People, including fictional"
"supreme communications company","ORG","Companies, agencies, institutions, etc."
"one","CARDINAL","Numerals that do not fall under another type"
"Vail","GPE","Countries, cities, states"
"Western Union","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Vail","GPE","Countries, cities, states"
"Western Union's","ORG","Companies, agencies, institutions, etc."
"Vail","GPE","Countries, cities, states"
"Western Union","ORG","Companies, agencies, institutions, etc."
"American","NORP","Nationalities or religious or political groups"
"Vail","GPE","Countries, cities, states"
"Post Office","ORG","Companies, agencies, institutions, etc."
"US","GPE","Countries, cities, states"
"American","NORP","Nationalities or religious or political groups"
"Post Office","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"second","ORDINAL","""first"", ""second"", etc."
"American","NORP","Nationalities or religious or political groups"
"Vail","GPE","Countries, cities, states"
"many decades","DATE","Absolute or relative dates or periods"
"1982","DATE","Absolute or relative dates or periods"
"American","NORP","Nationalities or religious or political groups"
"Leninist Communism","NORP","Nationalities or religious or political groups"
"Vail","GPE","Countries, cities, states"
"Americans","NORP","Nationalities or religious or political groups"
"American","NORP","Nationalities or religious or political groups"
"Bell","ORG","Companies, agencies, institutions, etc."
"Theodore Vail","PERSON","People, including fictional"
"UNIVERSAL","ORG","Companies, agencies, institutions, etc."
"Vail","GPE","Countries, cities, states"
"One","CARDINAL","Numerals that do not fall under another type"
"Universal Service","ORG","Companies, agencies, institutions, etc."
"American","NORP","Nationalities or religious or political groups"
"American","NORP","Nationalities or religious or political groups"
"first","ORDINAL","""first"", ""second"", etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"American","NORP","Nationalities or religious or political groups"
"first","ORDINAL","""first"", ""second"", etc."
"Vail","GPE","Countries, cities, states"
"American","NORP","Nationalities or religious or political groups"
"Joseph Stalin","PERSON","People, including fictional"
"Soviet","NORP","Nationalities or religious or political groups"
"Stalin","PERSON","People, including fictional"
"Soviet","NORP","Nationalities or religious or political groups"
"Soviet Union","GPE","Countries, cities, states"
"Party","ORG","Companies, agencies, institutions, etc."
"Alexander Solzhenitsyn's","PERSON","People, including fictional"
"FIRST","ORDINAL","""first"", ""second"", etc."
"Stalinist","NORP","Nationalities or religious or political groups"
"France","GPE","Countries, cities, states"
"French","NORP","Nationalities or religious or political groups"
"France","GPE","Countries, cities, states"
"1846","DATE","Absolute or relative dates or periods"
"one","CARDINAL","Numerals that do not fall under another type"
"Barbay","PERSON","People, including fictional"
"only a few meters","QUANTITY","Measurements, as of weight or distance"
"Paris","GPE","Countries, cities, states"
"twenty four hours","TIME","Times smaller than a day"
"ten","CARDINAL","Numerals that do not fall under another type"
"one","CARDINAL","Numerals that do not fall under another type"
"Barbay","PERSON","People, including fictional"
"French","NORP","Nationalities or religious or political groups"
"American Bell System","ORG","Companies, agencies, institutions, etc."
"France","GPE","Countries, cities, states"
"Edwardian","NORP","Nationalities or religious or political groups"
"Britain","GPE","Countries, cities, states"
"Britain","GPE","Countries, cities, states"
"' quarters","DATE","Absolute or relative dates or periods"
"Britain","GPE","Countries, cities, states"
"America","GPE","Countries, cities, states"
"American","NORP","Nationalities or religious or political groups"
"American","NORP","Nationalities or religious or political groups"
"American","NORP","Nationalities or religious or political groups"
"Phones","NORP","Nationalities or religious or political groups"
"America","GPE","Countries, cities, states"
"America","GPE","Countries, cities, states"
"American","NORP","Nationalities or religious or political groups"
"American","NORP","Nationalities or religious or political groups"
"1891","DATE","Absolute or relative dates or periods"
"eight thousand","CARDINAL","Numerals that do not fall under another type"
"1946","DATE","Absolute or relative dates or periods"
"almost a quarter","CARDINAL","Numerals that do not fall under another type"
"Vail","GPE","Countries, cities, states"
"Bell","ORG","Companies, agencies, institutions, etc."
"first","ORDINAL","""first"", ""second"", etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"American","NORP","Nationalities or religious or political groups"
"very first year","DATE","Absolute or relative dates or periods"
"1878","DATE","Absolute or relative dates or periods"
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Saint Patrick's","PERSON","People, including fictional"
"Day","DATE","Absolute or relative dates or periods"
"USA","GPE","Countries, cities, states"
"British","NORP","Nationalities or religious or political groups"
"British","NORP","Nationalities or religious or political groups"
"fourth","ORDINAL","""first"", ""second"", etc."
"1870s","DATE","Absolute or relative dates or periods"
"Americans","NORP","Nationalities or religious or political groups"
"1990s","DATE","Absolute or relative dates or periods"
"today","DATE","Absolute or relative dates or periods"
"Bell","ORG","Companies, agencies, institutions, etc."
"first","ORDINAL","""first"", ""second"", etc."
"NSFnet","GPE","Countries, cities, states"
"USENET","ORG","Companies, agencies, institutions, etc."
"JANET","ORG","Companies, agencies, institutions, etc."
"GEnie","ORG","Companies, agencies, institutions, etc."
"Prodigy","GPE","Countries, cities, states"
"CompuServe","ORG","Companies, agencies, institutions, etc."
"Communities","ORG","Companies, agencies, institutions, etc."
"1980s","DATE","Absolute or relative dates or periods"
"VARIOUS","ORG","Companies, agencies, institutions, etc."
"year 1990","DATE","Absolute or relative dates or periods"
"jailing","PERSON","People, including fictional"
"manifestos","GPE","Countries, cities, states"
"1990","DATE","Absolute or relative dates or periods"
"1990","DATE","Absolute or relative dates or periods"
"COMMUNITY","ORG","Companies, agencies, institutions, etc."
"1980s","DATE","Absolute or relative dates or periods"
"Bell","ORG","Companies, agencies, institutions, etc."
"Tarriffville Rail Disaster","ORG","Companies, agencies, institutions, etc."
"January 1878","DATE","Absolute or relative dates or periods"
"January 15, 1990","DATE","Absolute or relative dates or periods"
"Alexander Graham Bell's","PERSON","People, including fictional"
"day","DATE","Absolute or relative dates or periods"
"today","DATE","Absolute or relative dates or periods"
"T TECHNICAL JOURNAL","ORG","Companies, agencies, institutions, etc."
"TELEPHONE ENGINEER","ORG","Companies, agencies, institutions, etc."
"decades","DATE","Absolute or relative dates or periods"
"Bell Labs","ORG","Companies, agencies, institutions, etc."
"SEVEN NOBLE PRIZES","WORK_OF_ART","Titles of books, songs, etc."
"One","CARDINAL","Numerals that do not fall under another type"
"Bell Labs","ORG","Companies, agencies, institutions, etc."
"Bell Labs","ORG","Companies, agencies, institutions, etc."
"seventy year","DATE","Absolute or relative dates or periods"
"Ma Bell","PERSON","People, including fictional"
"1980s","DATE","Absolute or relative dates or periods"
"Ma Bell","PERSON","People, including fictional"
"Bell System","ORG","Companies, agencies, institutions, etc."
"Kiwanis","NORP","Nationalities or religious or political groups"
"Rotary","GPE","Countries, cities, states"
"long heyday of","DATE","Absolute or relative dates or periods"
"Ma Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell System","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"thousands","CARDINAL","Numerals that do not fall under another type"
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"America","GPE","Countries, cities, states"
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"America","GPE","Countries, cities, states"
"America","GPE","Countries, cities, states"
"many decades","DATE","Absolute or relative dates or periods"
"American","NORP","Nationalities or religious or political groups"
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell Octopus","PERSON","People, including fictional"
"Ma Bell's","ORG","Companies, agencies, institutions, etc."
"nineteenth century","DATE","Absolute or relative dates or periods"
"Octopus","PRODUCT","Objects, vehicles, foods, etc. (not services)"
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell System","ORG","Companies, agencies, institutions, etc."
"Technical","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"decades","DATE","Absolute or relative dates or periods"
"early 1980s","DATE","Absolute or relative dates or periods"
"Ma Bell","PERSON","People, including fictional"
"Vail","GPE","Countries, cities, states"
"Bell","ORG","Companies, agencies, institutions, etc."
"1983","DATE","Absolute or relative dates or periods"
"Ma Bell","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"T Communications","ORG","Companies, agencies, institutions, etc."
"Western Electric","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell Labs","ORG","Companies, agencies, institutions, etc."
"Bell Communications Research","ORG","Companies, agencies, institutions, etc."
"Bellcore","ORG","Companies, agencies, institutions, etc."
"Regional Bell Operating Companies","ORG","Companies, agencies, institutions, etc."
"RBOCs","ORG","Companies, agencies, institutions, etc."
"Fortune 50","PRODUCT","Objects, vehicles, foods, etc. (not services)"
"One","CARDINAL","Numerals that do not fall under another type"
"One","CARDINAL","Numerals that do not fall under another type"
"Universal Service","ORG","Companies, agencies, institutions, etc."
"One","CARDINAL","Numerals that do not fall under another type"
"early Reagan Administration","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"American","NORP","Nationalities or religious or political groups"
"Europe","LOC","Non-GPE locations, mountain ranges, bodies of water"
"Latin America","LOC","Non-GPE locations, mountain ranges, bodies of water"
"Pacific Rim","LOC","Non-GPE locations, mountain ranges, bodies of water"
"Ma Bell","ORG","Companies, agencies, institutions, etc."
"RBOCS","ORG","Companies, agencies, institutions, etc."
"Congress","ORG","Companies, agencies, institutions, etc."
"FCC","ORG","Companies, agencies, institutions, etc."
"Harold Greene","PERSON","People, including fictional"
"Bell","ORG","Companies, agencies, institutions, etc."
"American","NORP","Nationalities or religious or political groups"
"1983","DATE","Absolute or relative dates or periods"
"Bell","ORG","Companies, agencies, institutions, etc."
"today","DATE","Absolute or relative dates or periods"
"American","NORP","Nationalities or religious or political groups"
"today","DATE","Absolute or relative dates or periods"
"French","NORP","Nationalities or religious or political groups"
"American","NORP","Nationalities or religious or political groups"
"Bell","ORG","Companies, agencies, institutions, etc."
"One","CARDINAL","Numerals that do not fall under another type"
"only about eighty percent","PERCENT","Percentage, including ""%"""
"Sprint","ORG","Companies, agencies, institutions, etc."
"MCI","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
" Death Star","ORG","Companies, agencies, institutions, etc."
" Death Star","ORG","Companies, agencies, institutions, etc."
"Darth Vader","PERSON","People, including fictional"
"Death Star","FAC","Buildings, airports, highways, bridges, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bell System","ORG","Companies, agencies, institutions, etc."
"Baby Bell","ORG","Companies, agencies, institutions, etc."
"January 15, 1990","DATE","Absolute or relative dates or periods"
"days","DATE","Absolute or relative dates or periods"
"Bob Allen","PERSON","People, including fictional"
"last Monday","DATE","Absolute or relative dates or periods"
"Bell Laboratories","ORG","Companies, agencies, institutions, etc."
"Allen","PERSON","People, including fictional"
"WALL STREET JOURNAL","ORG","Companies, agencies, institutions, etc."
"USA TODAY","ORG","Companies, agencies, institutions, etc."
"NEW YORK TIMES","ORG","Companies, agencies, institutions, etc."
"LOS ANGELES TIMES","GPE","Countries, cities, states"
"CHICAGO TRIBUNE","ORG","Companies, agencies, institutions, etc."
"PHILADELPHIA INQUIRER","ORG","Companies, agencies, institutions, etc."
"SAN FRANCISCO CHRONICLE EXAMINER","ORG","Companies, agencies, institutions, etc."
"BOSTON GLOBE","ORG","Companies, agencies, institutions, etc."
"DALLAS MORNING NEWS","FAC","Buildings, airports, highways, bridges, etc."
"DETROIT FREE PRESS","ORG","Companies, agencies, institutions, etc."
"WASHINGTON POST","ORG","Companies, agencies, institutions, etc."
"HOUSTON CHRONICLE","ORG","Companies, agencies, institutions, etc."
"CLEVELAND","ORG","Companies, agencies, institutions, etc."
"PLAIN DEALER","PERSON","People, including fictional"
"MINNEAPOLIS STAR TRIBUNE","ORG","Companies, agencies, institutions, etc."
"ST","ORG","Companies, agencies, institutions, etc."
"PAUL PIONEER PRESS DISPATCH","ORG","Companies, agencies, institutions, etc."
"SEATTLE TIME POST INTELLIGENCER","ORG","Companies, agencies, institutions, etc."
"TACOMA NEWS TRIBUNE","ORG","Companies, agencies, institutions, etc."
"MIAMI HERALD","PERSON","People, including fictional"
"PITTSBURGH PRESS","ORG","Companies, agencies, institutions, etc."
"ST","ORG","Companies, agencies, institutions, etc."
"LOUIS POST DISPATCH","ORG","Companies, agencies, institutions, etc."
"DENVER POST","ORG","Companies, agencies, institutions, etc."
"PHOENIX","GPE","Countries, cities, states"
"TAMPA TRIBUNE","ORG","Companies, agencies, institutions, etc."
"MCI","ORG","Companies, agencies, institutions, etc."
"MCI","ORG","Companies, agencies, institutions, etc."
"Valentine's Day","DATE","Absolute or relative dates or periods"
"Crash","PERSON","People, including fictional"
"Bell Labs","ORG","Companies, agencies, institutions, etc."
"American","NORP","Nationalities or religious or political groups"
"Soviet","NORP","Nationalities or religious or political groups"
"late '88","DATE","Absolute or relative dates or periods"
"1989","DATE","Absolute or relative dates or periods"
"telco","GPE","Countries, cities, states"
"American","NORP","Nationalities or religious or political groups"
"Telco","GPE","Countries, cities, states"
"MCI","ORG","Companies, agencies, institutions, etc."
"Sprint","ORG","Companies, agencies, institutions, etc."
"Baby Bells","PERSON","People, including fictional"
"PacBell","GPE","Countries, cities, states"
"Bell South","ORG","Companies, agencies, institutions, etc."
"Southwestern Bell","ORG","Companies, agencies, institutions, etc."
"NYNEX","ORG","Companies, agencies, institutions, etc."
"USWest","ORG","Companies, agencies, institutions, etc."
"Bell","ORG","Companies, agencies, institutions, etc."
"Bellcore","ORG","Companies, agencies, institutions, etc."
"Mid American","NORP","Nationalities or religious or political groups"
"1990","DATE","Absolute or relative dates or periods"
"years","DATE","Absolute or relative dates or periods"
"years","DATE","Absolute or relative dates or periods"
"System","FAC","Buildings, airports, highways, bridges, etc."
"first","ORDINAL","""first"", ""second"", etc."
"Telco","ORG","Companies, agencies, institutions, etc."
"tens of thousands","CARDINAL","Numerals that do not fall under another type"
"American","NORP","Nationalities or religious or political groups"
"Bell","PERSON","People, including fictional"
"Vail","PERSON","People, including fictional"
"Telco","ORG","Companies, agencies, institutions, etc."
"first","ORDINAL","""first"", ""second"", etc."
"America","GPE","Countries, cities, states"
"January 15","DATE","Absolute or relative dates or periods"
"Conceivably","ORG","Companies, agencies, institutions, etc."
"months","DATE","Absolute or relative dates or periods"
"months","DATE","Absolute or relative dates or periods"
"DEEDS","ORG","Companies, agencies, institutions, etc."
"THREAT","ORG","Companies, agencies, institutions, etc."
"Control Office Administration of Enhanced 911 Services for Special Services","ORG","Companies, agencies, institutions, etc."
"Major Account Centers","ORG","Companies, agencies, institutions, etc."
"first","ORDINAL","""first"", ""second"", etc."
"TELEPHONE","ORG","Companies, agencies, institutions, etc."
"earth","LOC","Non-GPE locations, mountain ranges, bodies of water"
